value,S1,S2,time(s),
42750.37881,2109,0,58.36992574,
42750.37881,2110,0,58.51051497,
42750.37881,2111,0,58.66993332,
42750.37881,2112,0,58.55989385,
42750.37881,2113,0,58.18993473,
42750.37881,2114,0,59.499928,
42750.37881,2115,0,58.44990659,
42750.37881,2116,0,58.21993709,
42750.37881,2117,0,59.06993341,
42423.82228,2118,0,57.50993156,
42750.37881,2119,0,58.78993273,
42750.37881,2120,0,59.46631122,
42423.82228,2121,0,59.33993149,
42750.37881,2122,0,58.96093321,
42750.37881,2123,0,59.04990339,
42750.37881,2124,0,58.55993366,
42750.37881,2125,0,58.49898148,
42750.37881,2126,0,61.40992928,
42750.37881,2127,0,58.97992778,
42750.37881,2128,0,58.50992894,
42750.37881,2129,0,58.98993397,
42750.37881,2130,0,62.07046723,
42750.37881,2131,0,59.07992649,
42750.37881,2132,0,59.19993186,
42750.37881,2133,0,58.80990052,
42750.37881,2134,0,59.2499342,
42750.37881,2135,0,58.51990652,
42750.37881,2136,0,58.4399271,
42750.37881,2137,0,59.2998991,
42750.37881,2138,0,59.0799222,
42750.37881,2139,0,57.96993017,
42750.37881,2140,0,59.52990913,
42750.37881,2141,0,59.20050454,
42750.37881,2142,0,58.55992985,
42750.37881,2143,0,59.39849639,
42750.37881,2144,0,58.6599288,
42750.37881,2145,0,58.80989814,
42750.37881,2146,0,58.89993525,
42750.37881,2147,0,59.01989961,
42750.37881,2148,0,58.58993006,
42750.37881,2149,0,59.12989926,
42750.37881,2150,0,59.09988236,
42750.37881,2151,0,60.44050097,
42750.37881,2152,0,61.23992682,
42750.37881,2153,0,58.57993627,
42750.37881,2154,0,58.8299334,
42750.37881,2155,0,59.78992653,
42750.37881,2156,0,58.92992854,
42750.37881,2157,0,58.29993057,
42750.37881,2158,0,59.7998991,
42750.37881,2159,0,59.0299356,
42750.37881,2160,0,59.58993268,
42750.37881,2161,0,58.81047416,
42750.37881,2162,0,58.64993477,
42423.82758,2163,0,58.99989486,
42750.37881,2164,0,59.25990009,
42750.37881,2165,0,57.99992728,
42420.24129,2166,0,58.30992866,
42420.24129,2167,0,59.21990275,
42750.37881,2168,0,58.30993414,
42750.37881,2169,0,60.57993078,
42750.37881,2170,0,59.30992866,
42750.37881,2171,0,58.85037255,
42750.37881,2172,0,58.33990073,
42750.37881,2173,0,59.25986719,
42750.37881,2174,0,58.93988943,
42750.37881,2175,0,59.24105191,
42750.37881,2176,0,59.17993784,
42750.37881,2177,0,58.30989814,
42750.37881,2178,0,58.59987664,
42750.37881,2179,0,59.70990753,
42750.37881,2180,0,59.03993177,
42750.37881,2181,0,58.35049963,
42750.37881,2182,0,62.88989758,
42750.37881,2183,0,58.97993088,
42750.37881,2184,0,58.51993251,
42750.37881,2185,0,59.31992793,
42750.37881,2186,0,59.2699275,
42750.37881,2187,0,60.48992682,
42750.37881,2188,0,59.97993112,
42750.37881,2189,0,58.20990086,
42750.37881,2190,0,58.50992513,
42750.37881,2191,0,59.05044532,
42750.37881,2192,0,58.72989869,
42750.37881,2193,0,59.09992719,
42750.37881,2194,0,59.83992505,
42750.37881,2195,0,58.37993026,
42750.37881,2196,0,58.79992795,
42750.37881,2197,0,59.22992778,
42750.37881,2198,0,58.75103307,
42750.37881,2199,0,58.47987247,
42750.37881,2200,0,59.18992734,
42750.37881,2201,0,58.27048039,
42750.37881,2202,0,58.93990254,
42750.37881,2203,0,59.59985662,
42750.37881,2204,0,58.51992822,
42750.37881,2205,0,59.04993176,
42750.37881,2206,0,60.189924,
42750.37881,2207,0,58.63989854,
42423.82362,2208,0,57.78993464,
42750.37881,2209,0,59.70993114,
42750.37881,2210,0,58.46993542,
42423.82362,2211,0,57.7390132,
42423.82362,2212,0,60.16050529,
42423.82362,2213,0,57.90990591,
42750.37881,2214,0,60.45989561,
42750.37881,2215,0,59.49992752,
42750.37881,2216,0,58.43989587,
42750.37881,2217,0,58.78992701,
42750.37881,2218,0,59.42989683,
42750.37881,2219,0,58.44989872,
42750.37881,2220,0,58.36993527,
42750.37881,2221,0,59.58989501,
42750.37881,2222,0,58.71050262,
42750.37881,2223,0,58.81990004,
42750.37881,2224,0,59.35992765,
42750.37881,2225,0,58.30992889,
42750.37881,2226,0,58.61990047,
42750.37881,2227,0,58.95993304,
42750.37881,2228,0,58.69992757,
42750.37881,2229,0,58.0399344,
42750.37881,2230,0,58.81991267,
42750.37881,2231,0,59.2198987,
42750.37881,2232,0,58.60054398,
42750.37881,2233,0,58.62992954,
42750.37881,2234,0,59.68992496,
42750.37881,2235,0,58.41993475,
42750.37881,2236,0,59.64993525,
42750.37881,2237,0,58.46990418,
42750.37881,2238,0,58.85992837,
42750.37881,2239,0,61.36989546,
42750.37881,2240,0,58.68992329,
42750.37881,2241,0,58.06991386,
42750.37881,2242,0,59.58113718,
42750.37881,2243,0,59.56989312,
42750.37881,2244,0,58.699898,
42750.37881,2245,0,58.38990521,
42750.37881,2246,0,59.51989412,
42750.37881,2247,0,60.54993057,
42750.37881,2248,0,58.42990899,
42750.37881,2249,0,58.63992906,
42462.14754,2250,0,57.94992948,
42750.38564,2251,0,59.55993199,
42750.38564,2252,0,61.75961423,
42462.14754,2253,0,58.35993195,
42462.14754,2254,0,59.0699079,
42462.14754,2255,0,58.00990915,
42462.14754,2256,0,57.53993464,
42462.14754,2257,0,57.90993071,
42462.14754,2258,0,59.0195117,
42462.14842,2259,0,57.51991057,
42462.14754,2260,0,57.45992136,
42462.14754,2261,0,57.83993483,
42462.14754,2262,0,58.80994678,
42462.14754,2263,0,60.25992966,
42462.14754,2264,0,58.09993839,
42462.14754,2265,0,58.81992102,
42462.14754,2266,0,58.21993637,
42462.14754,2267,0,57.39993787,
42462.14842,2268,0,58.01990128,
42462.14754,2269,0,58.72993588,
42462.14754,2270,0,58.22993231,
42462.14754,2271,0,58.32993436,
42462.14754,2272,0,57.57990289,
42462.14754,2273,0,58.2575202,
42462.14754,2274,0,59.82992864,
42462.14754,2275,0,57.52993107,
42462.14754,2276,0,57.87410355,
42462.14842,2277,0,58.81989551,
42462.14754,2278,0,57.85992813,
42462.14754,2279,0,58.25992346,
42462.14754,2280,0,58.58992696,
42462.14754,2281,0,57.99993539,
42462.14754,2282,0,58.5799346,
42462.14754,2283,0,60.16042495,
42462.14754,2284,0,58.79993153,
42462.14754,2285,0,57.98993158,
42462.14842,2286,0,57.5299437,
42462.14754,2287,0,58.54021168,
42462.14754,2288,0,58.32265925,
42462.14754,2289,0,57.85993433,
42462.14754,2290,0,57.42993569,
42462.14754,2291,0,58.13990259,
42462.14754,2292,0,58.56993771,
42462.14754,2293,0,58.15986443,
42462.14754,2294,0,58.26993227,
42441.19849,2295,0,59.1399374,
42441.19849,2296,0,58.00993013,
42441.19849,2297,0,57.6299355,
42750.38564,2298,0,59.52992845,
42441.19849,2299,0,60.33993697,
42441.19849,2300,0,58.61986828,
42750.38564,2301,0,58.89993,
42441.19849,2302,0,58.31993484,
42441.19849,2303,0,57.71990299,
42750.38564,2304,0,58.94046855,
42750.38564,2305,0,60.69990635,
42750.38564,2306,0,58.26993036,
42441.19849,2307,0,57.7298708,
42441.2036,2308,0,58.46992874,
42441.2036,2309,0,57.71993232,
42441.19849,2310,0,57.65993571,
42441.2036,2311,0,58.77992892,
42441.2036,2312,0,57.80993652,
42750.38564,2313,0,59.0399065,
42750.38564,2314,0,59.82051873,
42750.38564,2315,0,59.67992473,
42441.19849,2316,0,58.93749714,
42441.2036,2317,0,58.41993475,
42441.2036,2318,0,58.50992918,
42441.19849,2319,0,58.2399385,
42441.2036,2320,0,58.21648145,
42441.2036,2321,0,58.2999301,
42750.38564,2322,0,59.50992751,
42750.38564,2323,0,58.42960954,
42750.38564,2324,0,58.28051424,
42441.19849,2325,0,58.39990044,
42441.2036,2326,0,57.78993535,
42441.2036,2327,0,58.51992941,
42441.19849,2328,0,58.30993056,
42441.2036,2329,0,58.36992979,
42441.2036,2330,0,58.28993082,
42750.38564,2331,0,58.98992896,
42750.38564,2332,0,58.11993051,
42750.38564,2333,0,59.23989797,
42441.19849,2334,0,58.34993052,
42441.2036,2335,0,58.81992507,
42441.2036,2336,0,59.81992722,
42441.19849,2337,0,57.91993189,
42441.2036,2338,0,60.86992645,
42441.2036,2339,0,58.64993501,
42441.19849,2340,0,58.1699307,
42441.19849,2341,0,58.08990383,
42441.19849,2342,0,58.42993426,
42750.38564,2343,0,60.05992675,
42441.19849,2344,0,60.55057311,
42441.19849,2345,0,58.09989905,
42750.38564,2346,0,58.89989901,
42441.19849,2347,0,59.38992596,
42441.19849,2348,0,57.85993242,
42750.38564,2349,0,59.0499289,
42750.38564,2350,0,59.1699326,
42750.38564,2351,0,58.88989973,
42441.19849,2352,0,60.70992804,
42441.2036,2353,0,58.74993539,
42441.2036,2354,0,57.92993331,
42441.19849,2355,0,67.18331623,
42441.2036,2356,0,62.96048999,
42441.2036,2357,0,76.3251822,
